ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM
70019425,14.57923238,121.1386665,10,2,2023-01-16,2023-01-23,43.981,21.9905,Kg
70019426,14.52968055,121.1542452,10,2,2023-01-16,2023-01-23,47.218,23.609,Kg
70019459,14.40432571,120.9407744,11,1,2023-01-12,2023-01-12,19.014,19.014,Kg
70019475,14.56518703,121.1398343,16,2,2023-01-16,2023-01-23,100.586,50.293,Kg
70019476,14.63174178,121.0961807,11,2,2023-01-16,2023-01-23,21.883,10.9415,Kg
70019480,14.40886541,120.8572967,11,1,2023-01-12,2023-01-12,26.595,26.595,Kg
70019482,14.62292153,121.1106243,15,2,2023-01-16,2023-01-23,108.019,54.0095,Kg
70019513,14.5931632,121.0298389,1,1,2023-01-13,2023-01-13,9.077,9.077,Kg
70019527,14.20674401,121.0227709,11,1,2023-01-12,2023-01-12,33.956,33.956,Kg
70019549,14.61130728,121.0916411,9,2,2023-01-13,2023-01-20,40.922,20.461,Kg
70019554,14.63024693,121.1201218,14,2,2023-01-16,2023-01-23,38.55,19.275,Kg
70019564,14.55068748,121.0451395,1,1,2023-01-13,2023-01-13,0.058,0.058,Kg
70020103,14.55107591,121.078572,2,1,2023-01-13,2023-01-13,1.908,1.908,Kg
70029285,14.40933622,120.9408269,11,1,2023-01-12,2023-01-12,21.422,21.422,Kg
70030492,14.57633674,121.1773259,11,2,2023-01-16,2023-01-23,54.805,27.4025,Kg
70030499,14.72984441,121.1378533,11,2,2023-01-16,2023-01-23,53.954,26.977,Kg
70030842,14.53399793,121.0487802,4,1,2023-01-13,2023-01-13,14.969,14.969,Kg
70031292,14.52121107,121.0656736,14,1,2023-01-13,2023-01-13,114.604,114.604,Kg
70031293,14.58425293,121.0603261,2,1,2023-01-13,2023-01-13,0.3389999999999999,0.339,Kg
70034004,14.55792821,121.0831835,9,1,2023-01-13,2023-01-13,41.316,41.316,Kg
70042197,14.58394216,121.123774,13,2,2023-01-16,2023-01-23,30.512,15.256,Kg
70043250,14.42278761,120.9413851,11,1,2023-01-12,2023-01-12,25.911,25.911,Kg
70043420,14.56539821,121.0276651,12,2,2023-01-13,2023-01-20,35.88699999999999,17.9435,Kg
70081032,14.50834342,121.0507623,9,2,2023-01-13,2023-01-20,68.728,34.364,Kg
70082414,14.51661422,121.019613,60,1,2023-01-13,2023-01-13,85.258,85.258,Kg
70083842,14.549463,121.0272289,12,2,2023-01-13,2023-01-20,54.272,27.136,Kg
70084418,14.57964031,121.1380988,14,2,2023-01-16,2023-01-23,114.368,57.184,Kg
70084927,14.60224359,121.0470067,4,1,2023-01-13,2023-01-13,2.312,2.312,Kg
70084983,14.53067757,121.154252,14,2,2023-01-16,2023-01-23,57.387,28.6935,Kg
70126798,14.58946963,121.0367324,1,1,2023-01-20,2023-01-20,0.054,0.054,Kg
70130674,14.62594348,121.0844611,16,2,2023-01-16,2023-01-23,95.843,47.9215,Kg
70130675,14.5738302,121.0487805,8,2,2023-01-13,2023-01-20,50.011,25.0055,Kg
70132480,14.58251015,121.0723445,4,1,2023-01-20,2023-01-20,2.92,2.92,Kg
70132664,14.39845245,120.9396642,3,1,2023-01-12,2023-01-12,1.846,1.846,Kg
70132665,14.47642017,121.1959103,12,2,2023-01-16,2023-01-23,17.4,8.7,Kg
70133553,14.54511586,121.0667741,10,2,2023-01-13,2023-01-20,95.849,47.9245,Kg
