DepotID,ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM,AssignedDepotID
2522,70135137,14.56050046,121.0839042,3,1,2023-05-23,2023-05-23,15.752,15.752,Kg,2513
2522,70138300,14.63633223,121.073492,3,1,2023-05-16,2023-05-16,11.432,11.432,Kg,25P1
2522,70152178,14.5806365,121.0637841,1,1,2023-05-16,2023-05-16,4.272,4.272,Kg,2513
2522,70154406,14.662849,121.0433089,1,1,2023-05-16,2023-05-16,2.192,2.192,Kg,25P1
2522,70155831,14.6218008,121.0538362,3,1,2023-05-16,2023-05-16,14.072,14.072,Kg,25P1
2522,70155899,14.41183851,121.0460726,8,2,2023-05-16,2023-05-23,26.605,13.3025,Kg,2522
2522,70156300,14.70504927,121.0822921,10,2,2023-05-16,2023-05-23,73.571,36.7855,Kg,25P1
2522,70156695,14.68386159,121.1051902,2,2,2023-05-16,2023-05-23,4.0280000000000005,2.014,Kg,25P1
2522,70241307,14.56468184,121.0758606,4,1,2023-05-16,2023-05-16,30.032,30.032,Kg,2513
2522,70242864,14.61831048,121.0077278,3,2,2023-05-16,2023-05-23,12.72,6.36,Kg,25P1
2522,70243242,14.60106946,121.0537673,2,2,2023-05-16,2023-05-23,0.052,0.026,Kg,2513
2522,70244502,14.54157801,121.01839,4,2,2023-05-16,2023-05-23,22.964,11.482,Kg,2513
2522,70244504,14.42857608,120.96443,8,2,2023-05-16,2023-05-23,228.172,114.086,Kg,2513
2522,70245228,14.11613998,120.961703,1,1,2023-05-22,2023-05-22,8.976,8.976,Kg,2522
2522,70248164,14.37547866,121.0118728,1,1,2023-05-18,2023-05-18,3.252,3.252,Kg,2522
2522,70249050,14.6401853,121.0230694,1,1,2023-05-17,2023-05-17,2.084,2.084,Kg,25P1
2522,70277887,14.33218192,121.0496237,11,2,2023-05-16,2023-05-23,372.121,186.0605,Kg,2522
2522,70277975,14.6386655,121.0309716,3,1,2023-05-16,2023-05-16,15.464,15.464,Kg,25P1
2522,70277977,14.60997776,121.078195,2,1,2023-05-16,2023-05-16,10.56,10.56,Kg,2513
2522,70278544,14.58173951,121.0125586,1,1,2023-05-18,2023-05-18,16.48,16.48,Kg,2513
2522,70278581,14.61695579,120.9705103,1,1,2023-05-17,2023-05-17,3.768,3.768,Kg,25P1
2522,70282807,14.65485028,121.0015592,11,2,2023-05-16,2023-05-23,168.64033,84.320165,Kg,25P1
2522,70283687,14.17850398,121.2421684,1,1,2023-05-17,2023-05-17,28.88,28.88,Kg,2522
2522,70284243,14.64331356,121.0168426,1,1,2023-05-16,2023-05-16,0.072,0.072,Kg,25P1
2522,70287030,14.63685354,121.0615563,2,2,2023-05-16,2023-05-23,8.864,4.432,Kg,25P1
2522,70288086,14.48021921,120.8988292,1,1,2023-05-17,2023-05-17,3.6,3.6,Kg,2513
2522,70289541,14.5821732,121.054616,4,1,2023-05-23,2023-05-23,9.464,9.464,Kg,2513
2522,70290163,14.56281865,121.0250161,1,1,2023-05-16,2023-05-16,4.272,4.272,Kg,2513
2522,70337458,14.39800083,120.9051463,7,2,2023-05-16,2023-05-23,64.202,32.101,Kg,2522
2522,70352881,14.5728895,121.0178039,8,3,2023-05-16,2023-05-23,45.558,15.186,Kg,2513
2522,70354596,14.60505303,121.0227754,1,1,2023-05-18,2023-05-18,23.244,23.244,Kg,2513
2522,70360301,14.61908661,121.0932974,2,1,2023-05-22,2023-05-22,15.192,15.192,Kg,25P1
2522,70360769,14.75789718,121.045307,2,1,2023-05-16,2023-05-16,7.16,7.16,Kg,25P1
2522,70374294,14.53596221,120.9881999,6,2,2023-05-16,2023-05-23,22.98,11.49,Kg,2513
2522,70386367,14.62894028,121.1233611,3,1,2023-05-16,2023-05-16,15.248,15.248,Kg,25P1
2522,70397353,14.54825605,121.0032787,1,1,2023-05-23,2023-05-23,0.144,0.144,Kg,2513
2522,70400118,14.40699245,120.955763,1,1,2023-05-17,2023-05-17,0.438,0.438,Kg,2522
2522,70402213,14.44725247,121.0455116,4,2,2023-05-16,2023-05-23,10.492,5.246,Kg,2513
2522,70403645,14.3999608,120.8569322,2,1,2023-05-16,2023-05-16,7.16,7.16,Kg,2522
2522,70409000,14.35232201,121.0628757,7,3,2023-05-16,2023-05-23,251.852,83.950667,Kg,2522
2522,70414082,14.66465844,121.0826753,6,2,2023-05-16,2023-05-23,60.918000000000006,30.459,Kg,25P1
2522,70417236,14.57595453,121.0409086,2,1,2023-05-17,2023-05-17,4.5920000000000005,4.592,Kg,2513
2522,70422309,14.72311017,121.0414843,1,1,2023-05-16,2023-05-16,2.192,2.192,Kg,25P1
2522,70423025,14.74756328,120.996007,8,2,2023-05-16,2023-05-23,226.162,113.081,Kg,25P1
2522,70423076,14.768795,121.0807352,6,2,2023-05-16,2023-05-23,83.02,41.51,Kg,25P1
2522,70425550,14.6535015,121.1031305,5,2,2023-05-16,2023-05-23,25.156,12.578,Kg,25P1
2522,70429235,14.5588256,121.009512,2,2,2023-05-16,2023-05-23,7.2,3.6,Kg,2513
2522,70432230,14.3771615,120.9391884,1,1,2023-04-26,2023-04-26,18.704,18.704,Kg,2522
2522,70433232,14.62194799,121.0521804,7,2,2023-05-16,2023-05-23,27.922600000000003,13.9613,Kg,25P1
2522,70434104,14.58116485,121.0292151,5,2,2023-05-16,2023-05-23,29.944000000000003,14.972,Kg,2513
2522,70434105,14.57581728,121.1209124,2,1,2023-05-16,2023-05-16,6.464,6.464,Kg,2513
2522,70434106,14.40658343,120.9570537,3,1,2023-05-16,2023-05-16,15.968,15.968,Kg,2522
2522,70434107,14.43454477,121.0422505,3,2,2023-05-16,2023-05-23,12.416,6.208,Kg,2513
2522,70434108,14.34332636,121.0385747,3,2,2023-05-16,2023-05-23,12.92,6.46,Kg,2522
2522,70434109,14.64985,121.1169922,1,1,2023-05-23,2023-05-23,6.036,6.036,Kg,25P1
2522,70434135,14.30769995,121.0829329,1,1,2023-05-22,2023-05-22,3.022,3.022,Kg,2522
2522,70464728,14.56827181,121.0858796,4,2,2023-05-16,2023-05-23,16.4,8.2,Kg,2513
2522,70464729,14.57223517,121.0829667,3,1,2023-05-16,2023-05-16,18.608,18.608,Kg,2513
2522,70464730,14.42533174,121.0013904,2,1,2023-05-16,2023-05-16,11.664,11.664,Kg,2513
2522,70466505,14.70595446,121.0693634,3,2,2023-05-16,2023-05-23,22.856,11.428,Kg,25P1
2522,70466527,14.77336285,121.0541297,4,1,2023-05-16,2023-05-16,17.408,17.408,Kg,25P1
2522,70466528,14.77330086,121.0508158,3,2,2023-05-16,2023-05-23,16.048,8.024,Kg,25P1
2522,70476441,14.53378874,121.048949,2,1,2023-05-23,2023-05-23,1.776,1.776,Kg,2513
2522,70476443,14.73556175,121.0680122,2,2,2023-05-16,2023-05-23,10.064,5.032,Kg,25P1
2522,70482684,14.40096984,120.9041352,2,2,2023-05-16,2023-05-23,13.616,6.808,Kg,2522
2522,70482685,14.53786337,121.0007975,3,2,2023-05-16,2023-05-23,23.06,11.53,Kg,2513
2522,70486378,14.52299723,121.2623366,1,1,2023-05-16,2023-05-16,2.192,2.192,Kg,2513
2522,70493562,14.65087107,121.1046172,1,1,2023-05-18,2023-05-18,12.632,12.632,Kg,25P1
2522,70522020,14.38840198,120.9775643,1,1,2023-05-18,2023-05-18,0.594,0.594,Kg,2522
