DepotID,ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM
2522,70022455,14.22854258,121.1387774,2,1,2023-06-08,2023-06-08,10.704,10.704,Kg
2522,70022456,14.57602506,121.0856731,6,3,2023-05-25,2023-06-08,72.94800000000001,24.316,Kg
2522,70022457,14.28915904,121.1095068,1,1,2023-06-01,2023-06-01,6.432,6.432,Kg
2522,70022461,14.70853711,120.9934338,5,2,2023-06-01,2023-06-08,90.761,45.3805,Kg
2522,70022472,14.58576404,120.9874974,3,2,2023-06-01,2023-06-08,346.18,173.09,Kg
2522,70022497,14.60650966,120.9738324,3,1,2023-06-08,2023-06-08,21.444,21.444,Kg
2522,70022521,14.52975506,121.0700367,7,3,2023-05-25,2023-06-08,145.85299999999998,48.617667,Kg
2522,70022522,14.29335017,121.1047544,3,2,2023-06-01,2023-06-08,25.283,12.6415,Kg
2522,70022524,14.23646403,121.1577194,3,1,2023-06-08,2023-06-08,10.968,10.968,Kg
2522,70022536,14.72967766,121.1404891,4,1,2023-06-08,2023-06-08,81.206,81.206,Kg
2522,70022538,14.34677074,121.0644222,3,2,2023-05-25,2023-06-08,17.877,8.9385,Kg
2522,70022547,14.58424175,121.1241301,1,1,2023-06-08,2023-06-08,46.824,46.824,Kg
2522,70022549,14.62073294,121.1700102,1,1,2023-06-08,2023-06-08,67.62,67.62,Kg
2522,70022553,14.44701888,121.0291501,3,2,2023-06-01,2023-06-08,19.789,9.8945,Kg
2522,70022555,14.65736047,121.0049138,4,2,2023-06-01,2023-06-08,36.667,18.3335,Kg
2522,70022760,14.55397099,121.0486599,2,2,2023-05-22,2023-05-29,106.784,53.392,Kg
2522,70022827,14.11737549,120.9613285,6,3,2023-05-25,2023-06-08,60.492000000000004,20.164,Kg
2522,70022828,14.5800405,120.9813663,2,2,2023-06-01,2023-06-08,11.82,5.91,Kg
2522,70022829,14.4557959,121.0104831,2,2,2023-06-01,2023-06-08,16.119999999999997,8.06,Kg
2522,70022831,14.62581906,120.9885815,2,2,2023-06-01,2023-06-08,6.48,3.24,Kg
2522,70022841,14.64592798,121.1128718,4,2,2023-06-01,2023-06-08,33.391,16.6955,Kg
2522,70022842,14.48483205,121.0298209,3,2,2023-06-01,2023-06-08,14.616,7.308,Kg
2522,70022862,14.67511653,121.0817069,3,2,2023-06-01,2023-06-08,28.405,14.2025,Kg
2522,70022868,14.60617105,120.9714112,1,1,2023-06-08,2023-06-08,11.232,11.232,Kg
2522,70022873,14.5886688,121.1757426,3,2,2023-06-01,2023-06-08,41.036,20.518,Kg
2522,70022880,14.68268308,121.0791398,4,2,2023-06-01,2023-06-08,50.135,25.0675,Kg
2522,70022882,14.43819378,121.0045003,2,1,2023-06-08,2023-06-08,8.832,8.832,Kg
2522,70022886,14.29192798,120.9104549,2,2,2023-06-01,2023-06-08,17.244,8.622,Kg
2522,70022890,14.64379715,121.0273104,4,2,2023-06-01,2023-06-08,33.909,16.9545,Kg
2522,70023048,14.533578,121.040319,3,1,2023-05-30,2023-05-30,644.548,644.548,Kg
2522,70028153,14.54685032,120.9988531,2,1,2023-06-08,2023-06-08,9.624,9.624,Kg
2522,70028193,14.40671606,120.9761568,1,1,2023-06-01,2023-06-01,17.644,17.644,Kg
2522,70028682,14.65066418,121.1056234,4,2,2023-06-01,2023-06-08,30.379,15.1895,Kg
2522,70028697,14.37668578,120.9397588,7,3,2023-05-25,2023-06-08,104.982,34.994,Kg
2522,70028745,14.69106793,120.963334,4,2,2023-06-01,2023-06-08,13.772,6.886,Kg
2522,70028746,14.32958007,121.0763258,4,1,2023-06-08,2023-06-08,39.983999999999995,39.984,Kg
2522,70029571,14.67867213,121.0271111,2,2,2023-06-01,2023-06-08,27.836000000000002,13.918,Kg
2522,70029730,14.50910786,121.0667071,3,1,2023-06-08,2023-06-08,17.808,17.808,Kg
2522,70029945,14.63744057,120.9944528,4,2,2023-06-01,2023-06-08,62.096,31.048,Kg
2522,70030316,14.58577866,121.1149146,4,2,2023-06-01,2023-06-08,26.719,13.3595,Kg
2522,70030330,14.53027127,121.15381,4,2,2023-06-01,2023-06-08,64.028,32.014,Kg
2522,70030331,14.53199759,120.9968481,5,3,2023-05-25,2023-06-08,18.5,6.166667,Kg
2522,70030332,14.70136138,121.1256345,4,2,2023-06-01,2023-06-08,20.256,10.128,Kg
2522,70030639,14.58887714,121.0973381,3,2,2023-06-01,2023-06-08,29.918,14.959,Kg
2522,70030740,14.4631398,120.9890733,4,2,2023-06-01,2023-06-08,32.595,16.2975,Kg
2522,70030897,14.28197463,120.8896608,1,1,2023-06-08,2023-06-08,13.872,13.872,Kg
2522,70030898,14.27550718,121.1242797,2,1,2023-06-08,2023-06-08,13.812000000000001,13.812,Kg
2522,70030929,14.65356602,120.9839214,3,2,2023-06-01,2023-06-08,37.78,18.89,Kg
2522,70030930,14.64194865,121.0314566,4,3,2023-05-25,2023-06-08,56.559999999999995,18.853333,Kg
2522,70030932,14.63784666,120.9966284,3,3,2023-05-25,2023-06-08,30.240000000000002,10.08,Kg
2522,70030935,14.66974158,121.1082827,5,2,2023-06-01,2023-06-08,49.713,24.8565,Kg
2522,70030936,14.53721948,121.0675706,3,2,2023-06-01,2023-06-08,13.549999999999999,6.775,Kg
2522,70030960,14.58760475,121.172847,2,2,2023-06-01,2023-06-08,17.304,8.652,Kg
2522,70030961,14.56298348,121.1334381,3,2,2023-06-01,2023-06-08,52.47,26.235,Kg
2522,70031058,14.55333505,121.0716175,3,2,2023-05-25,2023-06-01,15.717,7.8585,Kg
2522,70031063,14.63457121,121.0353997,1,1,2023-05-25,2023-05-25,19.572,19.572,Kg
2522,70034060,14.37705205,120.939023,3,2,2023-06-01,2023-06-08,26.598999999999997,13.2995,Kg
2522,70034086,14.42992606,120.8831537,5,2,2023-06-01,2023-06-08,74.659,37.3295,Kg
